ano;trim;geo;cod-ca;ca;cod-prv;prv;viv-num;viv-imp;viv-pm2;gar-num;gar-imp;gar-pm2;tras-num;tras-imp;tras-pm2;
2007;2;Provincia;10;Comunitat Valenciana;3;Alicante / Alacant;59990;132436;1478,25;19014;13685;978,70;4655;6017;838,51;
2007;2;Provincia;10;Comunitat Valenciana;12;Castellón / Castelló;14939;148030;1690,12;4938;12379;965,42;1124;4812;785,45;
2007;2;Provincia;10;Comunitat Valenciana;46;Valencia / València;50605;155970;1544,01;18883;16133;1250,98;4261;4847;883,69;
2007;2;Comunidad;11;Extremadura;98;EXTREMADURA;15830;88413;851,22;3281;11421;712,59;943;4542;691,98;
2007;2;Provincia;11;Extremadura;6;Badajoz;9619;86536;823,28;1801;11927;736,88;583;4603;727,32;
2007;2;Provincia;11;Extremadura;10;Cáceres;6211;91101;891,26;1480;10792;682,36;360;4462;645,82;
2007;2;Comunidad;12;Galicia;98;GALICIA;35082;118804;1383,74;16515;14189;1096,13;5416;4499;829,73;
2007;2;Provincia;12;Galicia;15;A Coruña;15009;118005;1364,14;5796;13988;1157,38;2132;3980;810,62;
2007;2;Provincia;12;Galicia;27;Lugo;4529;97448;1107,73;2341;11455;916,55;547;4842;855,57;
2007;2;Provincia;12;Galicia;32;Ourense;3837;87849;901,68;2647;11653;796,54;673;3306;654,78;
2007;2;Provincia;12;Galicia;36;Pontevedra;11707;135256;1629,61;5731;16976;1270,92;2064;5421;908,64;
2007;2;Comunidad;13;Comunidad de Madrid;98;COMUNIDAD DE MADRID;92153;272108;2989,25;45629;22443;1552,08;4807;8072;1376,16;
2007;2;Provincia;13;Comunidad de Madrid;28;Madrid;92153;272108;2989,25;45629;22443;1552,08;4807;8072;1376,16;
2007;2;Comunidad;14;Región de Murcia;98;REGIÓN DE MURCIA;33949;125087;1301,42;10018;14330;896,96;1725;3890;752,34;
2007;2;Provincia;14;Región de Murcia;30;Murcia;33949;125087;1301,42;10018;14330;896,96;1725;3890;752,34;
2007;2;Comunidad;15;C. Foral de Navarra;98;C. FORAL DE NAVARRA;10675;190491;1967,20;3438;17182;1123,96;1370;8796;1146,05;
2007;2;Provincia;15;C. Foral de Navarra;31;Navarra;10675;190491;1967,20;3438;17182;1123,96;1370;8796;1146,05;
2007;2;Comunidad;16;País Vasco;98;PAÍS VASCO;28875;261567;3186,88;17591;26207;1683,33;4720;11264;1536,30;
2007;2;Provincia;16;País Vasco;1;Araba / Álava;4535;240785;2542,94;2293;20646;1426,38;204;9115;1199,66;
2007;2;Provincia;16;País Vasco;20;Gipuzkoa;8985;271580;3413,54;5228;25327;1452,97;1008;12539;1475,45;
2007;2;Provincia;16;País Vasco;48;Bizkaia;15355;260188;3191,37;10070;27537;1860,89;3508;10934;1566,68;
2007;2;Comunidad;17;La Rioja;98;LA RIOJA;7744;150753;1674,79;2748;14724;1081,33;374;6448;798,39;
2007;2;Provincia;17;La Rioja;26;La Rioja;7744;150753;1674,79;2748;14724;1081,33;374;6448;798,39;
2007;2;Comunidad;18;Ceuta;98;CEUTA;526;142721;1595,12;323;14706;970,53;39;4837;905,69;
2007;2;Provincia;18;Ceuta;51;Ceuta;526;142721;1595,12;323;14706;970,53;39;4837;905,69;
2007;2;Comunidad;19;Melilla;98;MELILLA;799;124856;1267,76;315;14530;764,57;16;6279;1418,66;
2007;2;Provincia;19;Melilla;52;Melilla;799;124856;1267,76;315;14530;764,57;16;6279;1418,66;
2007;3;Nacional;99;ESPAÑA;99;ESPAÑA;830605;180286;1998,52;336800;17479;1198,43;65394;6270;1019,15;
2007;3;Comunidad;1;Andalucía;98;ANDALUCÍA;173527;146940;1520,62;58207;16374;933,41;10639;6313;949,14;
2007;3;Provincia;1;Andalucía;4;Almería;21655;131343;1492,17;7106;13104;830,58;1040;4681;754,55;
2007;3;Provincia;1;Andalucía;11;Cádiz;25042;154529;1552,74;6685;16992;995,70;1165;6016;972,28;
2007;3;Provincia;1;Andalucía;14;Córdoba;11705;131370;1283,35;5372;15386;790,05;466;7226;904,66;
2007;3;Provincia;1;Andalucía;18;Granada;16534;130736;1349,83;6929;15269;848,71;1185;5344;795,29;
2007;3;Provincia;1;Andalucía;21;Huelva;11323;138308;1463,02;2494;16252;989,37;641;5886;975,35;
2007;3;Provincia;1;Andalucía;23;Jaén;10114;99774;952,48;3068;11296;796,54;604;6042;855,81;
2007;3;Provincia;1;Andalucía;29;Málaga;43259;178525;1852,76;16308;18736;1003,69;3690;7448;1061,33;
2007;3;Provincia;1;Andalucía;41;Sevilla;33895;139448;1410,49;10245;17508;1022,87;1848;5950;960,21;
2007;3;Comunidad;2;Aragón;98;ARAGÓN;21805;178040;2127,75;9539;16879;1187,77;4021;5443;993,67;
2007;3;Provincia;2;Aragón;22;Huesca;5211;148284;1843,06;3476;14037;966,50;1844;3999;753,01;
2007;3;Provincia;2;Aragón;44;Teruel;2150;97940;1017,20;441;14444;1086,51;130;6932;970,67;
2007;3;Provincia;2;Aragón;50;Zaragoza;14444;197900;2357,89;5622;18836;1333,78;2047;6638;1206,05;
2007;3;Comunidad;3;Principado de Asturias;98;PRINCIPADO DE ASTURIAS;18417;128723;1600,59;10357;13653;986,56;2963;4797;878,08;
2007;3;Provincia;3;Principado de Asturias;33;Asturias;18417;128723;1600,59;10357;13653;986,56;2963;4797;878,08;
2007;3;Comunidad;4;Illes Balears;98;ILLES BALEARS;22719;193440;2113,80;9699;17173;1400,95;1667;6708;1000,37;
2007;3;Provincia;4;Illes Balears;7;Illes Balears;22719;193440;2113,80;9699;17173;1400,95;1667;6708;1000,37;
2007;3;Comunidad;5;Canarias;98;CANARIAS;37571;133636;1654,89;11806;16424;1097,30;1978;4957;925,33;
2007;3;Provincia;5;Canarias;35;Las Palmas;17720;130644;1636,89;5222;19537;1239,28;910;5289;1038,63;
2007;3;Provincia;5;Canarias;38;Santa Cruz de Tenerife;19851;135967;1668,90;6584;14025;987,84;1068;4643;818,03;
2007;3;Comunidad;6;Cantabria;98;CANTABRIA;11989;163167;1888,35;5896;16499;1004,03;1406;6935;989,62;
2007;3;Provincia;6;Cantabria;39;Cantabria;11989;163167;1888,35;5896;16499;1004,03;1406;6935;989,62;
2007;3;Comunidad;7;Castilla y León;98;CASTILLA Y LEÓN;43521;141205;1426,59;17717;15072;1054,41;3193;5480;901,53;
2007;3;Provincia;7;Castilla y León;5;Ávila;2961;114478;1155,86;728;11021;769,01;166;3665;636,19;
2007;3;Provincia;7;Castilla y León;9;Burgos;6733;165774;1696,84;3352;17722;1275,13;811;8142;1244,58;
2007;3;Provincia;7;Castilla y León;24;León;8448;116221;1191,09;3642;10370;828,60;372;4780;600,83;
2007;3;Provincia;7;Castilla y León;34;Palencia;1803;118675;1112,19;309;18356;1117,85;127;4900;915,16;
2007;3;Provincia;7;Castilla y León;37;Salamanca;5824;133824;1403,91;3090;19842;1206,49;331;5691;971,31;
2007;3;Provincia;7;Castilla y León;40;Segovia;3343;148660;1446,81;942;13164;905,38;238;4204;826,37;
2007;3;Provincia;7;Castilla y León;42;Soria;1724;136154;1444,55;913;13451;887,75;182;3667;527,16;
2007;3;Provincia;7;Castilla y León;47;Valladolid;9539;173870;1728,25;3564;16446;1166,98;652;5285;931,68;
2007;3;Provincia;7;Castilla y León;49;Zamora;3146;117056;1129,09;1177;10467;820,99;314;3781;747,45;
2007;3;Comunidad;8;Castilla-La Mancha;98;CASTILLA-LA MANCHA;38478;140049;1263,43;9284;13282;846,60;2659;5069;803,92;
2007;3;Provincia;8;Castilla-La Mancha;2;Albacete;6407;109376;1062,93;2416;12751;887,56;817;5247;823,59;
2007;3;Provincia;8;Castilla-La Mancha;13;Ciudad Real;8173;104118;1044,15;3011;12613;752,80;713;4291;779,56;
2007;3;Provincia;8;Castilla-La Mancha;16;Cuenca;3990;113243;1084,50;684;11454;835,68;196;5991;762,04;
2007;3;Provincia;8;Castilla-La Mancha;19;Guadalajara;6014;181268;1688,43;1129;14686;880,34;289;6195;909,85;
2007;3;Provincia;8;Castilla-La Mancha;45;Toledo;13894;163080;1342,62;2044;14510;924,35;644;4767;767,99;
